source_id,split
5245,training
5710,training
2915,training
7027,training
23666,training
8509,training
7909,training
366,training
198,training
12435,training
4903,training
19882,training
14057,training
4971,training
14070,training
20712,training
12603,training
21755,training
16932,training
9425,training
12366,training
11490,training
8683,training
21752,training
7171,training
11944,training
2375,training
14420,training
21223,training
16457,training
12172,training
12862,training
15659,training
1863,training
19493,training
5607,training
3503,training
20924,training
24316,training
17344,training
5896,training
7627,training
1247,training
12140,training
24617,training
18891,training
23792,training
8821,training
23349,training
13726,training
2187,training
24225,training
1413,training
4055,training
4870,training
10496,training
13287,training
24057,training
8104,training
4088,training
182,training
15000,training
14535,training
16454,training
17797,training
11036,training
20860,training
15488,training
13844,training
9869,training
20127,training
13000,training
9555,training
21676,training
20191,training
8368,training
22709,training
7858,training
3619,training
103,training
2340,training
7020,training
18165,training
12575,training
1019,training
2860,training
7387,training
4667,training
11138,training
5596,training
10925,training
12635,training
13036,training
10716,training
20361,training
5484,training
21721,training
523,training
11728,training
13614,training
18594,training
10254,training
16998,training
1212,training
17499,training
3060,training
3233,training
3305,training
11955,training
10148,training
7963,training
23631,training
10944,training
6285,training
1587,training
7483,training
22810,training
24041,training
1860,training
21728,training
13851,training
8927,training
15453,training
14256,training
8457,training
4979,training
23633,training
10673,training
12715,training
16871,training
17558,training
16042,training
6866,training
11671,training
15089,training
9293,training
16092,training
13530,training
7333,training
6248,training
820,training
20928,training
16131,training
18778,training
12232,training
16445,training
22604,training
5179,training
2887,training
23590,training
8815,training
22698,training
20186,training
4334,training
220,training
7008,training
4109,training
1387,training
4816,training
7130,training
12929,training
8759,training
15751,training
23699,training
14590,training
13825,training
19148,training
7803,training
16270,training
7266,training
20945,training
23538,training
16378,training
224,training
17414,training
22124,training
17357,training
2466,training
19339,training
11092,training
19515,training
6947,training
4134,training
12660,training
14644,training
16685,training
19763,training
16322,training
21565,training
17142,training
308,training
14182,training
9125,training
10824,training
20313,training
8374,training
4277,training
20083,training
114,training
5437,training
3158,training
22015,training
18402,training
18123,training
9667,training
20948,training
23053,training
9405,training
12240,training
23985,training
4505,training
13781,training
4026,training
1325,training
14661,training
15459,training
2553,training
22423,training
24014,training
792,training
6531,training
22988,training
1810,training
11738,training
9953,training
19050,training
6018,training
18253,training
13588,training
12823,training
18166,training
21973,training
4462,training
21849,training
15277,training
23076,training
22738,training
8194,training
13729,training
13134,training
9849,training
7905,training
423,training
21663,training
4567,training
4662,training
14989,training
9396,training
8802,training
16381,training
17661,training
2978,training
20800,training
22421,training
20841,training
10213,training
22890,training
24461,training
17417,training
4408,training
8329,training
4005,training
9223,training
21140,training
14537,training
15082,training
20679,training
617,training
17437,training
14991,training
14931,training
17822,training
16303,training
20204,training
23354,training
11616,training
9540,training
5862,training
14189,training
18259,training
13893,training
20285,training
2673,training
8673,training
19289,training
12419,training
6213,training
15286,training
17243,training
19635,training
14520,training
18497,training
15650,training
7715,training
22936,training
7384,training
1425,training
4769,training
21883,training
22735,training
6495,training
7550,training
8390,training
8892,training
16837,training
1589,training
23372,training
22066,training
16149,training
22476,training
10684,training
2750,training
23434,training
14374,training
12934,training
1411,training
10859,training
4033,training
19832,training
12349,training
15988,training
1590,training
15364,training
18968,training
3041,training
21467,training
3810,training
18313,training
17989,training
343,training
15016,training
20534,training
12169,training
61,training
15088,training
13468,training
8130,training
20384,training
15777,training
14672,training
19275,training
4368,training
12096,training
7648,training
3956,training
1480,training
21577,training
3581,training
4847,training
16123,training
16214,training
18738,training
24645,training
10137,training
12757,training
13130,training
11923,training
8776,training
18173,training
3393,training
19840,training
2457,training
4377,training
9257,training
17277,training
12260,training
10957,training
11609,training
306,training
17173,training
9105,training
13482,training
22667,training
4123,training
16910,training
19004,training
10467,training
18265,training
19307,training
118,training
20961,training
21700,training
3129,training
3474,training
15156,training
5500,training
1788,training
15457,training
22140,training
20230,training
16494,training
2023,training
17704,training
11813,training
21924,training
13865,training
6614,training
22269,training
38,training
15974,training
18292,training
11735,training
1699,training
2134,training
22028,training
16325,training
9585,training
5420,training
15568,training
16917,training
3823,training
13262,training
10176,training
11469,training
24568,training
17462,training
1069,training
3998,training
10731,training
5650,training
4669,training
24629,training
21105,training
7596,training
11231,training
4951,training
16367,training
5413,training
21037,training
11886,training
22687,training
12323,training
9510,training
17616,training
4845,training
21021,training
1142,training
1412,training
13906,training
13341,training
15077,training
7607,training
17108,training
15612,training
4895,training
12208,training
2080,training
21902,training
19792,training
1352,training
21399,training
4021,training
2379,training
5575,training
12528,training
22401,training
3509,training
8862,training
2502,training
20445,training
16193,training
9645,training
16681,training
1722,training
9570,training
17746,training
24563,training
21152,training
5316,training
24675,training
21295,training
4299,training
9872,training
3688,training
22976,training
12127,training
2182,training
1693,training
4724,training
24100,training
20791,training
4833,training
22441,training
10154,training
1464,training
8793,training
3007,training
20837,training
5695,training
21606,training
21890,training
7339,training
10201,training
2394,training
16161,training
19382,training
14688,training
4611,training
11533,training
18255,training
17791,training
9719,training
930,training
22760,training
21544,training
17635,training
13219,training
4954,training
4424,training
14096,training
688,training
16504,training
11742,training
8246,training
7225,training
7542,training
23190,training
13200,training
8984,training
20309,training
17593,training
2251,training
5718,training
1695,training
21845,training
17753,training
20907,training
223,training
11585,training
23661,training
2369,training
22539,training
7247,training
16173,training
20029,training
10665,training
13967,training
8458,training
2528,training
6000,training
8445,training
7814,training
12418,training
10058,training
10371,training
7132,training
18817,training
7771,training
4947,training
2012,training
4562,training
23722,training
807,training
20911,training
9769,training
10518,training
17160,training
3586,training
7776,training
6023,training
24465,training
5935,training
12933,training
24184,training
12800,training
10568,training
4385,training
10117,training
8253,training
11511,training
12865,training
5228,training
8749,training
810,training
10695,training
944,training
8481,training
23090,training
12693,training
21740,training
5069,training
20987,training
10482,training
13793,training
4593,training
13121,training
10126,training
16346,training
20419,training
6550,training
16777,training
15465,training
14974,training
743,training
13041,training
5196,training
7143,training
14540,training
24307,training
22251,training
24436,training
24590,training
6638,training
18080,training
4583,training
8432,training
1680,training
9415,training
819,training
14511,training
4822,training
11056,training
18000,training
10134,training
11833,training
24634,training
12306,training
4351,training
18211,training
3960,training
7063,training
12731,training
15836,training
12792,training
16103,training
151,training
7207,training
13709,training
24588,training
6345,training
22535,training
17732,training
3167,training
18400,training
8610,training
12624,training
5226,training
4413,training
5427,training
18221,training
6884,training
21620,training
2736,training
15135,training
293,training
23745,training
3672,training
8708,training
17351,training
3256,training
10265,training
21801,training
15793,training
15524,training
17257,training
6065,training
2841,training
900,training
2158,training
12249,training
4965,training
10266,training
7621,training
4898,training
22143,training
22958,training
15569,training
19947,training
1478,training
18189,training
19298,training
5770,training
20974,training
3774,training
17878,training
5686,training
22640,training
13892,training
13769,training
10414,training
9104,training
24639,training
7028,training
19252,training
11634,training
24742,training
17724,training
7198,training
11067,training
19140,training
6069,training
3608,training
24499,training
1922,training
3461,training
19095,training
6127,training
13054,training
11839,training
23453,training
22010,training
21605,training
16162,training
23229,training
9775,training
11354,training
11737,training
12489,training
12081,training
7676,training
10458,training
9316,training
10330,training
18996,training
22798,training
22136,training
19667,training
7587,training
15471,training
8812,training
18760,training
10045,training
9423,training
188,training
7146,training
6893,training
18505,training
10549,training
14190,training
7502,training
14286,training
11113,training
19706,training
3494,training
10975,training
5148,training
23918,training
3759,training
10205,training
20399,training
178,training
9307,training
15547,training
23573,training
901,training
22616,training
15601,training
9010,training
5643,training
11789,training
22326,training
5594,training
585,training
22286,training
21080,training
16221,training
23680,training
22668,training
16283,training
23476,training
2888,training
10988,training
9213,training
512,training
6296,training
19702,training
8153,training
24423,training
2487,training
9331,training
18098,training
9442,training
4705,training
5983,training
21249,training
24678,training
13155,training
13807,training
2446,training
3834,training
22486,training
21560,training
24769,training
15279,training
20871,training
14918,training
1787,training
4790,training
10942,training
15869,training
148,training
11824,training
22984,training
9694,training
19406,training
6399,training
267,training
13537,training
431,training
2058,training
2530,training
14973,training
18079,training
16404,training
11256,training
22953,training
7545,training
5700,training
8164,training
11531,training
13,training
10393,training
637,training
24161,training
18429,training
4163,training
3964,training
21056,training
12907,training
8099,training
17346,training
11702,training
771,training
2537,training
12308,training
2625,training
24618,training
11933,training
11033,training
18552,training
9313,training
13504,training
12111,training
13803,training
4251,training
16050,training
4363,training
12512,training
24646,training
23681,training
23410,training
18909,training
3844,training
13927,training
22732,training
754,training
21812,training
15574,training
22328,training
13649,training
3821,training
21109,training
16293,training
8668,training
10790,training
20718,training
11556,training
15194,training
3660,training
8752,training
24434,training
12925,training
19572,training
18391,training
3165,training
15935,training
23976,training
14660,training
12621,training
21501,training
7313,training
7501,training
9721,training
19719,training
15516,training
1500,training
13264,training
21389,training
8694,training
8807,training
14750,training
3822,training
17054,training
11780,training
15118,training
3733,training
4186,training
18403,training
20742,training
18312,training
15878,training
15939,training
726,training
10580,training
21893,training
14675,training
5345,training
15818,training
20239,training
22999,training
11122,training
817,training
15752,training
1396,training
19230,training
17838,training
16120,training
4175,training
19982,training
16178,training
18303,training
14268,training
21674,training
1740,training
1758,training
3462,training
24211,training
22011,training
4937,training
3330,training
23840,training
19775,training
21513,training
22228,training
10293,training
21661,training
17592,training
21020,training
10759,training
2588,training
9838,training
15530,training
10565,training
3094,training
12697,training
2790,training
5270,training
13952,training
3788,training
11060,training
22615,training
22618,training
13989,training
744,training
22275,training
20578,training
16989,training
13359,training
386,training
19648,training
23951,training
51,training
12092,training
3789,training
23375,training
6362,training
6204,training
24626,training
10057,training
10295,training
17395,training
13372,training
4155,training
3765,training
16607,training
4799,training
14307,training
11307,training
3059,training
17053,training
24755,training
17771,training
16015,training
1675,training
15161,training
14502,training
16595,training
16728,training
16688,training
17540,training
15444,training
7375,training
18729,training
2899,training
20448,training
1074,training
22426,training
577,training
20182,training
640,training
15123,training
24077,training
2091,training
3334,training
15876,training
22433,training
15058,training
19966,training
4883,training
1004,training
10552,training
7593,training
7362,training
787,training
23758,training
9379,training
21579,training
7943,training
22434,training
11429,training
4038,training
4420,training
18401,training
3358,training
12634,training
24064,training
1093,training
10062,training
21065,training
1599,training
9179,training
6160,training
24128,training
14607,training
21299,training
8670,training
10980,training
3166,training
2089,training
19865,training
10799,training
23868,training
20780,training
24315,training
17297,training
11666,training
2013,training
4796,training
2922,training
21388,training
13473,training
9493,training
10441,training
11801,training
150,training
12201,training
5266,training
24559,training
14829,training
18670,training
17004,training
22995,training
18017,training
23572,training
16805,training
21654,training
2444,training
23033,training
19624,training
20407,training
16328,training
2307,training
8693,training
7182,training
16000,training
14364,training
5795,training
22917,training
17387,training
15175,training
23893,training
8061,training
16470,training
3979,training
23772,training
547,training
6198,training
23609,training
251,training
5657,training
21315,training
16610,training
8276,training
6035,training
19945,training
19566,training
18592,training
13932,training
21391,training
24668,training
13383,training
24032,training
12348,training
6465,training
16320,training
2126,training
19044,training
16025,training
2088,training
8079,training
4419,training
5525,training
4485,training
3348,training
21053,training
21175,training
19153,training
23310,training
22717,training
18732,training
3198,training
17242,training
22132,training
9271,training
3740,training
6216,training
10300,training
17619,training
5353,training
8496,training
10953,training
7030,training
12584,training
21348,training
18441,training
22609,training
22759,training
19529,training
2106,training
15712,training
13418,training
14362,training
20706,training
20921,training
20936,training
23662,training
15355,training
6042,training
22558,training
12360,training
1262,training
9433,training
11581,training
3347,training
11946,training
18264,training
20023,training
22021,training
8747,training
22176,training
1177,training
19975,training
16813,training
3170,training
5163,training
405,training
1252,training
7061,training
7112,training
4456,training
3204,training
6425,training
18433,training
8451,training
22901,training
15074,training
11513,training
24168,training
17271,training
15063,training
22343,training
15313,training
6810,training
10345,training
20952,training
17452,training
15434,training
16698,training
17644,training
22613,training
14929,training
9245,training
13670,training
8810,training
3837,training
9827,training
24651,training
11001,training
8411,training
22792,training
21480,training
5756,training
13775,training
6409,training
4876,training
22042,training
3401,training
16475,training
14061,training
1748,training
10350,training
23016,training
7018,training
20268,training
9806,training
3847,training
20098,training
17903,training
18047,training
17873,training
24332,training
12677,training
14455,training
23070,training
23363,training
1378,training
430,training
7757,training
9569,training
15064,training
15877,training
2682,training
14323,training
17303,training
13202,training
4148,training
16288,training
9370,training
5012,training
10465,training
8922,training
15527,training
15575,training
19944,training
6197,training
13365,training
19919,training
23040,training
17489,training
11284,training
3312,training
21214,training
20202,training
3189,training
22432,training
14903,training
16083,training
19008,training
17113,training
11618,training
21156,training
9947,training
6546,training
3220,training
12984,training
18438,training
15350,training
1015,training
7798,training
15610,training
14094,training
7039,training
15468,training
7234,training
23275,training
23968,training
23921,training
1258,training
3356,training
13756,training
24063,training
18694,training
17473,training
23499,training
12716,training
13263,training
18210,training
10419,training
24699,training
10645,training
17983,training
12835,training
9147,training
20551,training
21692,training
11520,training
11218,training
12200,training
12633,training
16584,training
21528,training
24694,training
17832,training
11009,training
1763,training
24774,training
8705,training
6211,training
16116,training
3036,training
3132,training
16830,training
5618,training
10996,training
764,training
12459,training
13185,training
13395,training
22457,training
9563,training
12359,training
18507,training
19671,training
5371,training
8142,training
1459,training
19257,training
12703,training
9636,training
13284,training
15980,training
4680,training
6951,training
21541,training
8613,training
1672,training
9387,training
23902,training
15890,training
12977,training
15618,training
23467,training
1112,training
12285,training
7514,training
18485,training
8202,training
13654,training
144,training
3339,training
22551,training
20149,training
22637,training
13919,training
15018,training
16020,training
14958,training
15871,training
20396,training
23418,training
6700,training
19395,training
1826,training
21366,training
23391,training
10054,training
4493,training
16763,training
11703,training
10982,training
24092,training
1821,training
2267,training
21904,training
7341,training
9475,training
23193,training
15401,training
7471,training
6288,training
24427,training
11525,training
10780,training
6757,training
2946,training
22967,training
22915,training
2408,training
14854,training
4079,training
18194,training
8515,training
7808,training
11785,training
10286,training
17207,training
19492,training
15912,training
6012,training
9335,training
20101,training
12392,training
17246,training
11882,training
24411,training
8430,training
16580,training
2760,training
2982,training
12569,training
14591,training
16507,training
10633,training
22660,training
13962,training
20850,training
7490,training
5132,training
4018,training
9706,training
21153,training
2798,training
20091,training
4486,training
21645,training
3742,training
4153,training
17741,training
3012,training
4942,training
21808,training
24666,training
3225,training
6761,training
17706,training
21425,training
21277,training
9389,training
22369,training
7249,training
22533,training
11316,training
1514,training
10585,training
2950,training
10273,training
23099,training
15285,training
2239,training
17381,training
11982,training
24700,training
5450,training
23598,training
14205,training
22847,training
4399,training
15342,training
5537,training
20919,training
23487,training
1776,training
3308,training
5497,training
11355,training
21133,training
20043,training
24630,training
7615,training
13424,training
13230,training
4637,training
1878,training
21073,training
21144,training
7581,training
5121,training
22869,training
13619,training
4581,training
6304,training
7964,training
3073,training
22648,training
5653,training
1522,training
17824,training
11579,training
7529,training
9643,training
7095,training
12600,training
13443,training
2311,training
9066,training
23407,training
23755,training
4412,training
4375,training
19251,training
10593,training
6462,training
18702,training
9527,training
22720,training
2458,training
12207,training
7293,training
21719,training
2886,training
19021,training
18039,training
6486,training
3266,training
4736,training
23535,training
6441,training
9880,training
3963,training
11210,training
24770,training
6823,training
9165,training
18724,training
13199,training
10218,training
18156,training
15001,training
18248,training
16053,training
14302,training
21563,training
24404,training
19647,training
1716,training
19531,training
1604,training
4974,training
14948,training
20252,training
4429,training
4027,training
2605,training
14846,training
18714,training
24701,training
8502,training
17430,training
17727,training
93,training
12279,training
12807,training
2999,training
1966,training
1310,training
17550,training
11674,training
23427,training
14732,training
21851,training
13196,training
12772,training
10158,training
2286,training
10444,training
3361,training
21572,training
16088,training
9438,training
10854,training
17808,training
13925,training
18624,training
22354,training
4761,training
24306,training
4513,training
23072,training
10730,training
15121,training
18853,training
13445,training
5214,training
16753,training
9298,training
12080,training
15141,training
23268,training
11078,training
4994,training
15596,training
49,training
13242,training
1397,training
18906,training
21461,training
19006,training
7944,training
18622,training
15854,training
17072,training
121,training
11180,training
11722,training
17103,training
15498,training
8322,training
9123,training
15691,training
21615,training
19890,training
4867,training
5941,training
4158,training
13410,training
1892,training
20767,training
18617,training
3365,training
1822,training
10696,training
23561,training
20937,training
5382,training
20783,training
17383,training
8467,training
10769,training
2734,training
7741,training
23433,training
17573,training
1594,training
19038,training
7603,training
5133,training
1677,training
1346,training
16555,training
16416,training
19542,training
3476,training
19194,training
9297,training
16421,training
13224,training
18526,training
2741,training
2034,training
13520,training
16544,training
19634,training
18081,training
21816,training
15282,training
19383,training
15473,training
13001,training
20505,training
15736,training
20300,training
16637,training
21761,training
1217,training
18280,training
22398,training
18531,training
23882,training
19446,training
3022,training
2725,training
13352,training
7500,training
4194,training
11249,training
3574,training
23974,training
24108,training
18796,training
5256,training
19996,training
3946,training
5890,training
13997,training
1517,training
11592,training
17352,training
8893,training
10611,training
15177,training
23884,training
7229,training
10372,training
16836,training
965,training
23157,training
17082,training
11269,training
1683,training
23049,training
1143,training
14536,training
17285,training
8757,training
20462,training
1856,training
15353,training
22791,training
15852,training
13216,training
10447,training
6414,training
7252,training
2154,training
6347,training
18361,training
16480,training
7813,training
11580,training
2241,training
1465,training
14144,training
19223,training
7331,training
8362,training
8027,training
17029,training
8407,training
17411,training
20559,training
14313,training
1530,training
10725,training
21741,training
5610,training
11795,training
4457,training
20463,training
9698,training
8228,training
16146,training
2880,training
5974,training
11130,training
13282,training
24378,training
8167,training
4244,training
5077,training
24596,training
8763,training
10094,training
323,training
17584,training
18997,training
338,training
10041,training
20901,training
15329,training
12451,training
12271,training
19425,training
3529,training
14870,training
20471,training
4992,training
24394,training
15259,training
10195,training
10658,training
7167,training
7097,training
437,training
19143,training
3875,training
3057,training
9161,training
7883,training
10887,training
22644,training
23420,training
4357,training
3884,training
17563,training
10557,training
4795,training
17737,training
6503,training
2927,training
2740,training
9716,training
13026,training
8867,training
19386,training
3244,training
409,training
8692,training
23646,training
17287,training
6709,training
15724,training
24162,training
13258,training
19628,training
6024,training
21548,training
20301,training
23174,training
6519,training
4978,training
24543,training
6195,training
1223,training
9100,training
2779,training
2538,training
20428,training
19447,training
13006,training
1503,training
13930,training
14778,training
14271,training
939,training
13780,training
20080,training
15788,training
23079,training
18417,training
9836,training
14115,training
7079,training
15616,training
11602,training
15978,training
8880,training
15868,training
2300,training
11874,training
20342,training
15570,training
9823,training
13866,training
2319,training
22839,training
15356,training
5995,training
777,training
12733,training
17829,training
17743,training
19705,training
1368,training
69,training
3802,training
12813,training
2597,training
16703,training
967,training
21373,training
2970,training
22001,training
507,training
24684,training
6492,training
1259,training
249,training
11263,training
24566,training
8068,training
18719,training
2503,training
18823,training
8323,training
20250,training
10007,training
13669,training
1985,training
14097,training
16425,training
9317,training
13680,training
20932,training
16861,training
21765,training
5372,training
5453,training
6350,training
10387,training
6745,training
10217,training
11761,training
22925,training
1041,training
7799,training
15054,training
8026,training
2424,training
23194,training
8583,training
20922,training
9189,training
440,training
24555,training
22713,training
5766,training
5024,training
10670,training
17571,training
12402,training
23279,training
12053,training
5788,training
21938,training
21230,training
6854,training
10897,training
16783,training
1586,training
10947,training
20150,training
2092,training
7011,training
3905,training
13094,training
1304,training
11468,training
20616,training
1109,training
13076,training
7554,training
20386,training
18883,training
3323,training
5299,training
1843,training
7438,training
21128,training
1022,training
12721,training
22702,training
19039,training
8134,training
3565,training
10289,training
12338,training
10656,training
11368,training
3951,training
10473,training
1056,training
16109,training
2108,training
14496,training
22370,training
13703,training
13736,training
15297,training
2833,training
2699,training
7159,training
947,training
17929,training
9404,training
5352,training
6472,training
19721,training
13904,training
8905,training
12481,training
7533,training
10990,training
12839,training
22227,training
5792,training
18937,training
13981,training
13061,training
7129,training
17198,training
643,training
17526,training
16965,training
15829,training
14309,training
4891,training
9993,training
16574,training
1578,training
9795,training
3694,training
17368,training
19555,training
23457,training
7695,training
17654,training
18811,training
6221,training
17301,training
7511,training
2321,training
22939,training
21944,training
12755,training
1707,training
6487,training
20629,training
21099,training
11126,training
16739,training
12485,training
14759,training
3093,training
7544,training
7119,training
10877,training
13635,training
4570,training
17789,training
445,training
21459,training
4831,training
16857,training
18785,training
4093,training
8536,training
8377,training
17823,training
12398,training
22853,training
7423,training
3020,training
16838,training
23289,training
21438,training
16180,training
10732,training
12388,training
13017,training
1932,training
14655,training
10111,training
20321,training
11331,training
9439,training
4764,training
18341,training
3902,training
3491,training
15150,training
16999,training
8970,training
9812,training
14950,training
12498,training
5526,training
17774,training
9761,training
3350,training
14666,training
5844,training
19923,training
3092,training
10340,training
14524,training
2081,training
20173,training
2688,training
5690,training
22297,training
7062,training
2824,training
21398,training
4917,training
7400,training
13711,training
20564,training
20965,training
7433,training
14543,training
8382,training
14659,training
19451,training
11633,training
11359,training
11606,training
1673,training
10983,training
2242,training
8207,training
4859,training
14430,training
13416,training
24224,training
17516,training
12863,training
18071,training
4468,training
5649,training
5794,training
13557,training
5986,training
2002,training
1472,training
14303,training
2155,training
10654,training
1239,training
15151,training
22729,training
23472,training
8297,training
5728,training
4970,training
7957,training
8854,training
2204,training
2229,training
11197,training
19312,training
15129,training
17693,training
14177,training
11115,training
17754,training
20236,training
21813,training
10899,training
1850,training
19475,training
10609,training
17388,training
17048,training
6126,training
15893,training
11272,training
3263,training
14024,training
5118,training
1830,training
11220,training
14953,training
19949,training
15352,training
12051,training
17998,training
21006,training
4941,training
3314,training
4921,training
2473,training
2293,training
7206,training
762,training
16840,training
10226,training
13052,training
14768,training
16276,training
15862,training
6705,training
17888,training
20632,training
5517,training
5166,training
23308,training
21304,training
13776,training
10868,training
12078,training
16272,training
7643,training
17657,training
7646,training
16814,training
11871,training
18568,training
24000,training
12919,training
21069,training
11530,training
4177,training
950,training
24738,training
18849,training
15843,training
9916,training
868,training
14988,training
2990,training
4767,training
17656,training
3232,training
13977,training
23480,training
680,training
3750,training
4325,training
22622,training
2276,training
1005,training
14844,training
2209,training
13019,training
15086,training
20359,training
5084,training
12193,training
22097,training
18299,training
18758,training
5688,training
16649,training
6281,training
4860,training
12902,training
5205,training
12698,training
18960,training
18254,training
10794,training
7573,training
20599,training
3464,training
2465,training
1836,training
20484,training
9851,training
13093,training
23645,training
22600,training
3388,training
16200,training
14925,training
8672,training
213,training
13770,training
7138,training
20135,training
21739,training
21519,training
11587,training
17025,training
8442,training
18407,training
15654,training
9430,training
835,training
730,training
9624,training
7084,training
17457,training
8318,training
16924,training
21796,training
750,training
12095,training
4044,training
21910,training
3219,training
13778,training
16481,training
1783,training
1291,training
23668,training
11613,training
13265,training
6616,training
12154,training
12783,training
16253,training
20054,training
13495,training
21771,training
17199,training
23178,training
1237,training
12939,training
13488,training
4039,training
15051,training
8017,training
15642,training
16170,training
16417,training
19809,training
16195,training
9050,training
21294,training
4751,training
6278,training
23988,training
12124,training
19009,training
2387,training
17092,training
15914,training
14579,training
15700,training
4824,training
17161,training
23629,training
20090,training
4489,training
21024,training
241,training
8095,training
2697,training
6827,training
14378,training
3651,training
15011,training
19595,training
19758,training
5528,training
14927,training
13291,training
13591,training
3004,training
6890,training
18461,training
17153,training
21818,training
1140,training
20440,training
9041,training
5227,training
18962,training
10365,training
20931,training
7316,training
12993,training
10939,training
16099,training
5208,training
8498,training
17188,training
4353,training
21339,training
6990,training
10763,training
2047,training
2104,training
4654,training
5729,training
8990,training
8392,training
18923,training
21831,training
18828,training
10808,training
2900,training
21351,training
4602,training
15180,training
6481,training
15800,training
18049,training
3437,training
2440,training
15823,training
14610,training
684,training
11298,training
24337,training
7986,training
8745,training
6738,training
16188,training
13671,training
15857,training
19524,training
12411,training
5140,training
6984,training
15554,training
13662,training
17947,training
14837,training
13871,training
23364,training
19849,training
5003,training
16824,training
1161,training
4095,training
17001,training
7946,training
3889,training
1827,training
21783,training
16540,training
21004,training
17339,training
17416,training
21001,training
17360,training
17511,training
14393,training
9594,training
8250,training
18914,training
13653,training
10302,training
22154,training
22545,training
9805,training
2547,training
2116,training
16776,training
921,training
18595,training
23302,training
22088,training
9512,training
8020,training
23340,training
23965,training
5847,training
22778,training
15804,training
21033,training
17963,training
9132,training
1075,training
1182,training
4609,training
3986,training
12811,training
19441,training
2730,training
7398,training
9984,training
1853,training
22796,training
17542,training
12720,training
9654,training
18998,training
20245,training
24633,training
22593,training
19022,training
4884,training
1047,training
10377,training
23616,training
14884,training
14640,training
14861,training
10178,training
21003,training
